option,value,n,percent
autochdir,*default*,224,99%
autochdir,true,3,1%
autoindent,*default*,226,100%
autoindent,false,1,0%
autoread,*default*,225,99%
autoread,false,2,1%
autowrite,*default*,212,93%
autowrite,true,15,7%
autowriteall,*default*,222,98%
autowriteall,true,5,2%
background,*default*,208,92%
background,light,18,8%
background,,1,0%
backspace,*default*,216,95%
backspace,2,4,2%
backspace,"eol,start,indent",4,2%
backspace,"indent,eol,start,nostop",2,1%
backspace,3,1,0%
backup,*default*,207,91%
backup,true,20,9%
backupcopy,*default*,218,96%
backupcopy,yes,8,4%
backupcopy,"auto,breakhardlink",1,0%
backupext,*default*,225,99%
backupext,~%projects%lazy.nvim,1,0%
backupext,~~tmp~~2022-11-24-21-0,1,1%
belloff,*default*,226,100%
belloff,cursor,1,0%
breakat,*default*,222,98%
breakat,  ,1,0%
breakat," \t!@*-+;:,./=&?",1,0%
breakat," ^I!@*;:,./?(=",1,0%
breakat,",!:\\ \t?",1,1%
breakat,"\\ \\\t;:,!?",1,1%
breakindent,*default*,160,70%
breakindent,true,67,30%
breakindentopt,*default*,211,93%
breakindentopt,sbr,3,1%
breakindentopt,shift:2,3,1%
breakindentopt,"shift:2,min:20",3,1%
breakindentopt,list:-1,1,0%
breakindentopt,min:60,1,0%
breakindentopt,"sbr,shift:2",1,0%
breakindentopt,"shift:1,sbr",1,1%
breakindentopt,"shift:2,list:-1,min:30",1,1%
breakindentopt,shift:4,1,1%
breakindentopt,"shift:4,sbr",1,1%
cedit,*default*,226,100%
cedit,\15,1,0%
cindent,*default*,219,96%
cindent,true,8,4%
cinoptions,*default*,226,100%
cinoptions,"g0,N-s,E-s",1,0%
clipboard,unnamedplus,101,44%
clipboard,*default*,101,45%
clipboard,unnamed,15,7%
clipboard,"unnamed,unnamedplus",7,3%
clipboard,"unnamedplus,unnamed",3,1%
cmdheight,*default*,146,64%
cmdheight,0,56,25%
cmdheight,2,25,11%
cmdwinheight,*default*,223,98%
cmdwinheight,5,3,1%
cmdwinheight,1,1,1%
colorcolumn,*default*,152,67%
colorcolumn,80,17,8%
colorcolumn,+1,13,6%
colorcolumn,100,7,3%
colorcolumn,120,7,3%
colorcolumn,99999,5,2%
colorcolumn,"80,100",4,2%
colorcolumn,90,4,2%
colorcolumn,81,3,1%
colorcolumn,0,2,1%
colorcolumn,79,2,1%
colorcolumn,"80,120",2,1%
colorcolumn,"+1,120",1,0%
colorcolumn,140,1,0%
colorcolumn,"140,160",1,0%
colorcolumn,160,1,0%
colorcolumn,"32,72,80,120",1,0%
colorcolumn,66,1,0%
colorcolumn,"81,101",1,1%
colorcolumn,"81,121",1,1%
colorcolumn,89,1,1%
comments,*default*,218,96%
comments,"s1:/*,mb:*,ex:*/,://,b:#,:%,:XCOMM,n:>,fb:-,b:#,b:#:",8,4%
comments,"://,b:#,b:#:",1,0%
commentstring,*default*,225,99%
commentstring,# %s,2,1%
complete,*default*,210,93%
complete,".,w,b,u,t,kspell",3,1%
complete,,2,1%
complete,".,kspell",2,1%
complete,".,w,b,k",2,1%
complete,".,w,b,u",2,1%
complete,.,1,0%
complete,".,b,u",1,0%
complete,".,w",1,0%
complete,".,w,b,i,u,t,",1,0%
complete,".,w,b,t",1,1%
complete,".,w,b,u,kspell",1,1%
completefunc,*default*,221,98%
completefunc,v:lua.COQ.Omnifunc,3,1%
completefunc,v:lua.MiniCompletion.completefunc_lsp,3,1%
completeopt,*default*,69,31%
completeopt,"menu,menuone,noselect",57,25%
completeopt,"menuone,noselect",44,20%
completeopt,"menuone,noinsert,noselect",18,8%
completeopt,"menu,menuone",5,2%
completeopt,menu,3,1%
completeopt,"menu,menuone,noinsert,noselect",3,1%
completeopt,"menuone,noselect,noinsert",3,1%
completeopt,"menu,menuone,noinsert",2,1%
completeopt,"menu,menuone,noselect,preview",2,1%
completeopt,"menu,preview,noinsert,menuone,noselect",2,1%
completeopt,menuone,2,1%
completeopt,"menuone,longest",2,1%
completeopt,longest,1,0%
completeopt,"longest,menu",1,0%
completeopt,"longest,menuone,noselect,noinsert,menuone,noselect",1,0%
completeopt,"menu,longest",1,0%
completeopt,"menu,menuone,noselect,noinsert",1,0%
completeopt,"menu,menuone,preview,noselect",1,0%
completeopt,"menu,noinsert,menuone,noselect",1,0%
completeopt,"menu,noselect",1,0%
completeopt,"menu,preview,menuone",1,0%
completeopt,"menuone,noinsert",1,1%
completeopt,"menuone,noinsert,noselect,preview",1,1%
completeopt,"menuone,noselect,menu",1,1%
completeopt,"menuone,noselect,noinsert,noinsert,menuone,noselect",1,1%
completeopt,"menuone,preview",1,1%
completeopt,"noselect,noinsert,menuone,preview",1,1%
concealcursor,*default*,212,94%
concealcursor,nc,5,2%
concealcursor,inc,3,1%
concealcursor,n,3,1%
concealcursor,niv,2,1%
concealcursor,i,1,0%
