option,value,n
backspace,eol,6
backspace,indent,6
backspace,start,6
backspace,2,4
backspace,nostop,2
backspace,3,1
backupcopy,yes,8
backupcopy,auto,1
backupcopy,breakhardlink,1
belloff,cursor,1
breakat,\,9
breakat, ,6
breakat,",",4
breakat,:,4
breakat,!,4
breakat,?,4
breakat,;,3
breakat,t,3
breakat,.,2
breakat,@,2
breakat,*,2
breakat,/,2
breakat,=,2
breakat,-,1
breakat,(,1
breakat,&,1
breakat,^,1
breakat,+,1
breakat,I,1
breakindentopt,shift:2,8
breakindentopt,sbr,6
breakindentopt,min:20,3
breakindentopt,list:-1,2
breakindentopt,shift:4,2
breakindentopt,min:30,1
breakindentopt,min:60,1
breakindentopt,shift:1,1
cinoptions,E-s,1
cinoptions,g0,1
cinoptions,N-s,1
clipboard,unnamedplus,111
clipboard,unnamed,25
colorcolumn,80,24
colorcolumn,+1,14
colorcolumn,100,11
colorcolumn,120,11
colorcolumn,81,5
colorcolumn,99999,5
colorcolumn,90,4
colorcolumn,0,2
colorcolumn,140,2
colorcolumn,160,2
colorcolumn,79,2
colorcolumn,101,1
colorcolumn,121,1
colorcolumn,32,1
colorcolumn,66,1
colorcolumn,72,1
colorcolumn,89,1
comments,b:#,17
comments,://,9
comments,b:#:,9
comments,:%,8
comments,:XCOMM,8
comments,ex:*/,8
comments,fb:-,8
comments,mb:*,8
comments,n:>,8
comments,s1:/*,8
complete,.,15
complete,b,11
complete,w,11
complete,u,8
complete,kspell,6
complete,t,5
complete,,3
complete,k,2
complete,i,1
completeopt,menuone,153
completeopt,noselect,140
completeopt,menu,82
completeopt,noinsert,36
completeopt,preview,9
completeopt,longest,6
cpoptions,a,5
cpoptions,A,5
cpoptions,B,5
cpoptions,c,5
cpoptions,e,5
cpoptions,F,5
cpoptions,s,5
cpoptions,_,4
cpoptions,n,4
cursorlineopt,number,10
cursorlineopt,screenline,3
cursorlineopt,line,1
diffopt,filler,50
diffopt,internal,50
diffopt,closeoff,45
diffopt,vertical,24
diffopt,indent-heuristic,18
diffopt,algorithm:patience,17
diffopt,linematch:60,16
diffopt,algorithm:histogram,10
diffopt,iwhite,8
diffopt,hiddenoff,6
diffopt,context:3,4
diffopt,algorithm:minimal,2
diffopt,context:0,1
diffopt,context:5,1
diffopt,foldcolumn:1,1
diffopt,horizontal,1
diffopt,iwhiteall,1
diffopt,linematch:100,1
diffopt,linematch:120,1
diffopt,linematch:50,1
diffopt,linematch:75,1
display,lastline,4
display,uhex,3
display,msgsep,2
errorformat,,3
errorformat, line %l%*\\D%c%*[^ ] %m,1
errorformat,"\""%f\""\\",1
errorformat,"\""%f\""%*\\D%l: %m",1
errorformat,%-G%*[ ]from %f:%l,1
errorformat,%-G%*[ ]from %f:%l:,1
errorformat,%-G%*[ ]from %f:%l:%c,1
errorformat,%-G%*[ ]from %f:%l\\,1
errorformat,%-G%f:%l: (Each undeclared identifier is reported only once,1
errorformat,%-G%f:%l: for each function it appears in.),1
errorformat,%-GIn file included from %f:%l,1
errorformat,%-GIn file included from %f:%l:%c,1
errorformat,%-GIn file included from %f:%l:%c:,1
errorformat,%-GIn file included from %f:%l:%c\\,1
errorformat,"%*[^\""]\""%f\""%*\\D%l: %m",1
errorformat,%\\s%#%\\d%#:%# %#from %f:%l:%m,1
errorformat,%D%*\\a: Entering directory %*[`']%f',1
errorformat,%D%*\\a[%*\\d]: Entering directory %*[`']%f',1
errorformat,%DMaking %*\\a in %f,1
errorformat,%f:%l:%c:%m,1
errorformat,%f:%l:%m,1
errorformat,%f(%l):%m,1
errorformat,%f|%l| %m,1
errorformat,%X%*\\a: Leaving directory %*[`']%f',1
errorformat,%X%*\\a[%*\\d]: Leaving directory %*[`']%f',1
errorformat,IN %f:%l:%m,1
eventignore,CursorHold,26
eventignore,CursorHoldI,26
fileencodings,utf-8,9
fileencodings,latin1,5
fileencodings,ucs-bom,5
fileencodings,big5,4
fileencodings,euc-jp,4
fileencodings,cp936,3
fileencodings,gb18030,3
fileencodings,euc-kr,2
fileencodings,gbk,2
fileencodings,cp1251,1
fileencodings,cp1252,1
fileencodings,cp949,1
fileencodings,default,1
fileencodings,gb2312,1
fileencodings,iso-2022-jp,1
fileencodings,latin-1,1
fileencodings,sjis,1
fileencodings,utf-16,1
fileencodings,utf-16le,1
fileformats,unix,10
fileformats,dos,8
fileformats,mac,7
fillchars,eob: ,44
fillchars,fold: ,43
fillchars,vert:│,16
fillchars,vert:┃,10
fillchars,foldclose:,9
fillchars,foldopen:,9
fillchars,horiz:━,9
fillchars,horizdown:┳,9
fillchars,horizup:┻,9
fillchars,verthoriz:╋,9
fillchars,vertright:┣,9
fillchars,diff:╱,8
fillchars,vert: ,7
fillchars,foldsep: ,6
fillchars,vertleft:┫,6
fillchars,horiz: ,4
fillchars,msgsep:‾,4
fillchars,diff: ,3
fillchars,diff:/,3
fillchars,horizdown: ,3
fillchars,horizup: ,3
fillchars,verthoriz: ,3
fillchars,vertleft: ,3
fillchars,vertleft:┨,3
fillchars,vertright: ,3
fillchars,diff:⣿,2
fillchars,eob:~,2
fillchars,foldclose:▸,2
fillchars,foldopen:▾,2
fillchars,foldsep:│,2
fillchars,horiz:─,2
fillchars,horizdown:┬,2
fillchars,horizup:┴,2
fillchars,stl: ,2
fillchars,stlnc: ,2
fillchars,vert:|,2
fillchars,verthoriz:┼,2
fillchars,vertleft:┤,2
fillchars,vertright:├,2
fillchars,diff:-,1
fillchars,diff:―,1
fillchars,diff:·,1
fillchars,diff:─,1
fillchars,diff:,1
fillchars,eob: ,1
fillchars,fold:-,1
fillchars,fold:─,1
fillchars,fold:۰,1
fillchars,horiz:═,1
fillchars,horizdown:╦,1
fillchars,horizup:╩,1
fillchars,lastline:•,1
fillchars,msgsep:◌,1
fillchars,stl:―,1
fillchars,stl:─,1
fillchars,stlnc:-,1
fillchars,stlnc:—,1
fillchars,stlnc:─,1
fillchars,vert:║,1
fillchars,verthoriz:╬,1
fillchars,vertleft:╣,1
fillchars,vertright:╠,1
foldclose,all,1
foldmarker,*/,1
foldmarker,/*,1
foldopen,mark,9
foldopen,percent,9
foldopen,quickfix,9
foldopen,search,9
foldopen,tag,9
foldopen,undo,9
foldopen,hor,8
foldopen,jump,7
foldopen,block,6
foldopen,insert,2
formatoptions,q,47
formatoptions,j,43
formatoptions,c,35
formatoptions,t,25
formatoptions,r,24
formatoptions,n,21
formatoptions,l,20
formatoptions,1,12
formatoptions,o,8
formatoptions,2,5
formatoptions,m,3
formatoptions,B,2
formatoptions,M,2
formatoptions,v,1
formatoptions,w,1
grepformat,%f:%l:%c:%m,29
grepformat,%f:%l:%m,14
grepformat,%f  %l%m,3
grepformat,%f:%l%m,3
grepformat,%f,1
grepformat,%m %f match%ts,1
guicursor,a:NoiceHiddenCursor,27
guicursor,i-ci-ve:ver25,10
guicursor,r-cr:hor20,8
guicursor,,7
guicursor,o:hor50,7
guicursor,r-cr-o:hor20,5
guicursor,sm:block-blinkwait175-blinkoff150-blinkon175,5
guicursor,n-v-c-sm:block,4
guicursor,n-v-c:block,4
guicursor,a:blinkwait700-blinkoff400-blinkon250-Cursor/lCursor,3
guicursor,i-ci-ve:ver25-ModesInsert,3
guicursor,i-ci:ver25-Cursor/lCursor,3
guicursor,n-v-c:block-Cursor/lCursor,3
guicursor,n-v-c:block-Cursor/lCursor-blinkon0,3
guicursor,r-cr-o:hor20-ModesOperator,3
guicursor,r-cr:hor20-Cursor/lCursor,3
guicursor,v-sm:block-ModesVisual,3
guicursor,a:blinkwait700-blinkoff500-blinkon500,2
guicursor,i-ci-ve:ver25-Cursor2/lCursor2,2
guicursor,o:hor20,2
guicursor,a:blinkwait600-blinkoff400-blinkon250-Cursor/lCursor,1
guicursor,a:block,1
guicursor,a:block-blinkon0,1
guicursor,a:block-Caret,1
guicursor,a:Cursor,1
guicursor,a:Cursor/lCursor,1
guicursor,c:ver25-blinkon300-CursorInsert,1
guicursor,i-ci-ve:ver25-Cursor/lCursor,1
guicursor,i-ci-ve:ver25-ICursor,1
guicursor,i-ci:ver25-Cursor/lCursor-blinkwait30-blinkoff100-blinkon100,1
guicursor,i-ve-r-cr-o:blinkoff500-blinkon500,1
guicursor,i:ver25,1
guicursor,i:ver25-blinkwait200-blinkoff150-blinkon200-CursorInsert,1
guicursor,i:ver25-VimrInsertCursor,1
guicursor,n-c-sm:block-Cursor,1
guicursor,n-v-c-sm-i-ci-ve-r-cr-o:block,1
guicursor,n-v-c:blinkon0,1
guicursor,n-v-c:hor20,1
guicursor,n:block-Cursor,1
guicursor,r-cr-o:hor20-RCursor,1
guicursor,r:blinkwait200-blinkoff150-blinkon200-CursorReplace,1
guicursor,v:CursorVisual,1
guicursor,v:hor10,1
guicursor,v:VCursor,1
guifont,monospace:h17,8
guifont,JetBrainsMono Nerd Font Mono:h18,2
guifont,:h11,1
guifont,Agave:h16,1
guifont,blexmono:h17,1
