config_type,n_plugins,n_iteration,init_time,plugin_time,total_time
many-gr,0,1,0.012,0,13.174
many-gr,0,10,0.012,0,13.358
many-gr,0,2,0.012,0,13.317
many-gr,0,3,0.015,0,13.733
many-gr,0,4,0.015,0,13.144
many-gr,0,5,0.015,0,13.343
many-gr,0,6,0.014,0,13.292
many-gr,0,7,0.015,0,13.396
many-gr,0,8,0.02,0,13.632
many-gr,0,9,0.027,0,13.404
many-gr,10,1,6.158,0.281,20.993
many-gr,10,10,6.151,0.287,21.458
many-gr,10,2,6.333,0.24,20.905
many-gr,10,3,6.083,0.287,20.846
many-gr,10,4,6.115,0.259,20.643
many-gr,10,5,6.073,0.244,20.692
many-gr,10,6,6.047,0.236,20.714
many-gr,10,7,6.13,0.257,20.621
many-gr,10,8,6.442,0.25,20.861
many-gr,10,9,6.079,0.3,20.802
many-gr,15,1,7.935,0.45,23.465
many-gr,15,10,8.245,0.405,23.843
many-gr,15,2,7.963,0.446,23.566
many-gr,15,3,7.876,0.476,23.332
many-gr,15,4,8.014,0.396,23.863
many-gr,15,5,7.978,0.383,23.694
many-gr,15,6,7.848,0.383,23.576
many-gr,15,7,8.08,0.342,23.265
many-gr,15,8,8.01,0.381,23.492
many-gr,15,9,8.119,0.349,23.532
many-gr,20,1,10.203,0.428,26.567
many-gr,20,10,10.447,0.434,26.378
many-gr,20,2,9.951,0.478,26.188
many-gr,20,3,9.889,0.55,26.519
many-gr,20,4,9.858,0.489,26.605
many-gr,20,5,9.942,0.493,26.002
many-gr,20,6,10.327,0.47,26.587
many-gr,20,7,10.048,0.554,26.807
many-gr,20,8,9.826,0.425,26.228
many-gr,20,9,9.964,0.521,26.345
many-gr,25,1,12.002,0.685,28.623
many-gr,25,10,12.265,0.692,28.995
many-gr,25,2,11.815,0.699,28.518
many-gr,25,3,12.016,0.808,29.839
many-gr,25,4,11.825,0.718,29.459
many-gr,25,5,12.06,0.757,28.995
many-gr,25,6,11.849,0.672,28.573
many-gr,25,7,12.437,0.761,30.076
many-gr,25,8,11.993,0.724,29.192
many-gr,25,9,11.699,0.729,28.659
many-gr,30,1,14.906,0.823,32.801
many-gr,30,10,13.941,0.813,31.382
many-gr,30,2,14.348,0.792,31.77
many-gr,30,3,13.768,0.754,31.532
many-gr,30,4,14.136,0.843,31.796
many-gr,30,5,13.992,0.793,31.512
many-gr,30,6,14.045,0.867,31.592
many-gr,30,7,14.257,0.751,31.772
many-gr,30,8,14.009,0.863,31.596
many-gr,30,9,14.22,0.89,32.152
many-gr,35,1,16.384,0.953,34.574
many-gr,35,10,16.553,0.922,34.706
many-gr,35,2,16.199,0.926,34.619
many-gr,35,3,16.071,1.094,34.955
many-gr,35,4,16.494,0.941,34.802
many-gr,35,5,16.341,0.956,34.503
many-gr,35,6,16.256,1.011,34.855
many-gr,35,7,16.185,0.929,34.177
many-gr,35,8,16.356,0.944,34.701
many-gr,35,9,17.01,0.98,35.303
many-gr,40,1,18.764,1.037,37.77
many-gr,40,10,18.717,1.064,38.386
many-gr,40,2,18.558,1.132,37.96
many-gr,40,3,18.555,1.035,37.258
many-gr,40,4,18.82,1.077,37.859
many-gr,40,5,19.464,1.157,38.842
many-gr,40,6,19.424,1.047,38.885
many-gr,40,7,18.762,1.049,37.426
many-gr,40,8,18.896,1.068,38
many-gr,40,9,18.464,1.095,37.519
many-gr,45,1,21.073,1.291,40.635
many-gr,45,10,21.342,1.141,41.043
many-gr,45,2,20.725,1.176,40.121
many-gr,45,3,20.94,1.106,40.439
many-gr,45,4,22.138,1.299,42.267
many-gr,45,5,21.867,1.226,41.898
many-gr,45,6,21.665,1.204,41.523
many-gr,45,7,21.591,1.113,41.152
many-gr,45,8,20.594,1.208,40.559
many-gr,45,9,20.848,1.154,40.435
many-gr,50,1,23.422,1.284,43.092
many-gr,50,10,24.261,1.297,45.031
many-gr,50,2,24.214,1.243,44.865
many-gr,50,3,23.486,1.246,44.47
many-gr,50,4,23.555,1.286,44.157
many-gr,50,5,23.208,1.26,43.296
many-gr,50,6,23.708,1.334,43.983
many-gr,50,7,24.413,1.333,44.562
many-gr,50,8,23.593,1.248,43.673
many-gr,50,9,23.623,1.291,43.835
many-gr,5,1,4.623,0.151,18.938
many-gr,5,10,4.39,0.144,18.364
many-gr,5,2,4.477,0.102,19.382
many-gr,5,3,4.391,0.115,18.375
many-gr,5,4,4.451,0.141,19.062
many-gr,5,5,4.352,0.124,18.727
many-gr,5,6,4.306,0.128,18.079
many-gr,5,7,4.282,0.138,18.732
many-gr,5,8,4.381,0.102,18.788
many-gr,5,9,4.613,0.149,18.882
many-sep,0,1,0.018,0,13.372
many-sep,0,10,0.013,0,13.262
many-sep,0,2,0.013,0,13.23
many-sep,0,3,0.015,0,13.913
many-sep,0,4,0.013,0,13.661
many-sep,0,5,0.012,0,13.631
many-sep,0,6,0.016,0,13.363
many-sep,0,7,0.013,0,13.407
many-sep,0,8,0.012,0,13.876
many-sep,0,9,0.015,0,14.205
many-sep,10,1,9.599,0.24,24.413
many-sep,10,10,9.825,0.259,24.618
many-sep,10,2,9.575,0.266,24.715
many-sep,10,3,9.92,0.269,24.594
many-sep,10,4,9.507,0.283,24.706
many-sep,10,5,9.703,0.235,24.215
many-sep,10,6,10.287,0.3,25.272
many-sep,10,7,9.546,0.343,24.028
many-sep,10,8,9.774,0.369,24.534
many-sep,10,9,9.729,0.279,24.346
many-sep,15,1,13.551,0.44,29.031
many-sep,15,10,14.35,0.372,30.139
many-sep,15,2,13.587,0.404,28.945
many-sep,15,3,13.665,0.403,29.104
many-sep,15,4,13.723,0.368,29.272
many-sep,15,5,13.958,0.341,29.546
many-sep,15,6,13.674,0.565,29.174
many-sep,15,7,13.666,0.357,29.707
many-sep,15,8,13.701,0.366,29.244
many-sep,15,9,13.607,0.352,28.925
many-sep,20,1,17.403,0.424,33.459
many-sep,20,10,17.555,0.48,33.724
many-sep,20,2,17.626,0.513,33.854
many-sep,20,3,17.616,0.539,33.485
many-sep,20,4,17.925,0.533,34.718
many-sep,20,5,17.656,0.525,33.525
many-sep,20,6,17.824,0.465,33.658
many-sep,20,7,17.568,0.487,33.4
many-sep,20,8,17.946,0.506,34.039
many-sep,20,9,17.508,0.484,33.447
many-sep,25,1,21.824,0.784,39.097
many-sep,25,10,21.789,0.691,38.474
many-sep,25,2,22.425,0.734,39.181
many-sep,25,3,22.615,0.838,39.908
many-sep,25,4,21.898,0.748,38.649
many-sep,25,5,22.075,0.74,39.102
many-sep,25,6,22.615,0.746,39.394
many-sep,25,7,21.739,0.782,38.757
many-sep,25,8,22.164,0.725,39.116
many-sep,25,9,22.404,0.748,39.1
many-sep,30,1,26.775,0.807,44.135
many-sep,30,10,26.379,0.794,43.616
many-sep,30,2,26.506,0.827,44.166
many-sep,30,3,26.469,0.821,44.095
many-sep,30,4,26.727,0.824,44.221
many-sep,30,5,25.911,0.801,43.567
many-sep,30,6,26.803,0.87,44.35
many-sep,30,7,26.658,0.825,44.095
many-sep,30,8,26.042,0.867,43.604
many-sep,30,9,26.782,0.862,44.206
many-sep,35,1,31.009,0.997,49.195
many-sep,35,10,31.015,1.031,49.842
many-sep,35,2,31.974,1.062,50.217
many-sep,35,3,31.248,0.958,50.042
many-sep,35,4,31.067,0.989,49.155
many-sep,35,5,33.376,1.012,51.504
many-sep,35,6,30.841,1.047,49.29
many-sep,35,7,30.711,1.011,48.952
many-sep,35,8,31.298,1.04,49.547
many-sep,35,9,31.764,1.062,50.232
many-sep,40,1,35.982,1.107,54.853
many-sep,40,10,35.41,1.133,54.02
many-sep,40,2,35.683,1.117,54.922
many-sep,40,3,35.622,1.155,54.349
many-sep,40,4,35.519,1.252,54.294
many-sep,40,5,35.531,1.136,54.116
many-sep,40,6,36.183,1.102,55.376
many-sep,40,7,34.99,1.155,53.803
many-sep,40,8,35.302,1.106,53.898
many-sep,40,9,35.435,1.222,54.052
many-sep,45,1,40.237,1.228,59.455
many-sep,45,10,40.732,1.15,60.293
many-sep,45,2,40.305,1.256,60.224
many-sep,45,3,39.837,1.239,59.336
many-sep,45,4,40.54,1.209,59.658
many-sep,45,5,40.523,1.165,60.197
many-sep,45,6,42.354,1.145,62.005
many-sep,45,7,41.69,1.243,61.442
many-sep,45,8,40.097,1.224,59.51
many-sep,45,9,40.121,1.198,59.845
many-sep,50,1,45.086,1.284,64.968
many-sep,50,10,45.699,1.325,65.892
many-sep,50,2,44.952,1.263,65.24
many-sep,50,3,47.149,1.306,67.642
many-sep,50,4,45.68,1.25,65.897
many-sep,50,5,46.595,1.235,66.579
many-sep,50,6,45.143,1.096,65.022
many-sep,50,7,45.45,1.188,65.609
many-sep,50,8,45.936,1.381,65.992
many-sep,50,9,45.378,1.284,65.774
many-sep,5,1,5.958,0.139,19.656
many-sep,5,10,5.776,0.135,19.601
many-sep,5,2,5.84,0.164,20.11
many-sep,5,3,6.304,0.15,20.657
many-sep,5,4,5.899,0.13,20.204
many-sep,5,5,5.844,0.154,19.622
many-sep,5,6,5.907,0.103,19.75
many-sep,5,7,6.254,0.142,20.117
many-sep,5,8,5.914,0.125,19.699
many-sep,5,9,6.003,0.136,19.854
single,0,1,0.017,0,13.772
single,0,10,0.016,0,14.319
single,0,2,0.015,0,13.519
single,0,3,0.015,0,13.329
single,0,4,0.014,0,13.413
single,0,5,0.012,0,13.238
single,0,6,0.012,0,13.611
single,0,7,0.016,0,13.834
single,0,8,0.013,0,13.207
single,0,9,0.016,0,13.124
single,10,1,3.261,0.273,17.243
single,10,10,3.088,0.27,17.293
single,10,2,3.051,0.223,17.041
single,10,3,3.108,0.319,17.725
single,10,4,3.166,0.249,17.974
single,10,5,3.104,0.228,17.262
single,10,6,3.174,0.32,17.068
single,10,7,3.231,0.266,17.143
single,10,8,3.075,0.351,17.431
single,10,9,3.075,0.223,17.282
single,15,1,3.442,0.348,17.499
single,15,10,3.178,0.342,17.329
single,15,2,3.181,0.341,17.712
single,15,3,3.235,0.435,17.634
single,15,4,3.203,0.385,17.545
single,15,5,3.191,0.301,17.666
single,15,6,3.23,0.298,17.772
single,15,7,3.186,0.311,17.588
single,15,8,3.176,0.408,17.26
single,15,9,3.169,0.308,17.439
single,20,1,3.534,0.379,18.382
single,20,10,3.322,0.396,18.873
single,20,2,3.372,0.382,17.958
single,20,3,3.269,0.509,18.028
single,20,4,3.237,0.457,17.891
single,20,5,3.269,0.389,17.973
single,20,6,3.16,0.387,18.151
single,20,7,3.3,0.423,18.116
single,20,8,3.441,0.401,18.275
