hue_floor,hex,L,L_r,c,h
0,#ff0087,64.74,59.06,26.23,0.29
1,#ff0084,64.65,58.95,26.14,1.22
2,#ff0081,64.56,58.85,26.06,2.16
3,#ff007e,64.48,58.75,25.98,3.1
4,#ff007b,64.39,58.65,25.91,4.03
5,#ff0077,64.29,58.53,25.82,5.28
6,#ff0074,64.21,58.44,25.76,6.21
7,#ff0071,64.13,58.35,25.7,7.14
8,#ff006e,64.06,58.27,25.65,8.07
9,#ff006a,63.97,58.16,25.59,9.29
10,#ff0067,63.9,58.08,25.55,10.21
11,#ff0064,63.83,58.0,25.52,11.11
12,#ff0061,63.77,57.93,25.48,12.0
13,#ff005d,63.69,57.84,25.45,13.18
14,#ff005a,63.63,57.77,25.43,14.04
15,#ff0056,63.55,57.68,25.41,15.18
16,#ff0053,63.5,57.62,25.4,16.01
17,#ff004f,63.43,57.55,25.39,17.1
18,#ff0048,63.33,57.42,25.4,18.91
19,#ff0044,63.27,57.35,25.4,19.9
20,#ff0040,63.22,57.29,25.42,20.85
21,#ff003b,63.15,57.22,25.44,21.97
22,#ff0037,63.11,57.17,25.46,22.82
23,#ff0031,63.05,57.1,25.5,23.99
24,#ff002c,63.0,57.05,25.53,24.89
25,#ff0025,62.95,56.98,25.58,25.99
26,#ff001e,62.9,56.93,25.63,26.93
27,#ff0014,62.85,56.87,25.69,27.98
28,#ff0005,62.81,56.82,25.75,28.96
29,#ff0000,62.8,56.81,25.77,29.23
30,#ff1600,63.25,57.33,25.34,30.04
31,#ff2400,63.79,57.95,24.84,31.02
32,#ff2e00,64.32,58.57,24.37,32.01
33,#ff3600,64.83,59.16,23.92,33.01
34,#ff3d00,65.35,59.76,23.48,34.04
35,#ff4300,65.85,60.33,23.08,35.04
36,#ff4900,66.38,60.95,22.65,36.17
37,#ff4e00,66.86,61.51,22.28,37.2
38,#ff5200,67.27,61.98,21.98,38.09
39,#ff5600,67.7,62.47,21.67,39.05
40,#ff5a00,68.14,62.99,21.36,40.06
41,#ff5e00,68.6,63.52,21.05,41.14
42,#ff6200,69.08,64.07,20.74,42.28
43,#ff6500,69.45,64.5,20.5,43.18
44,#ff6800,69.83,64.94,20.27,44.12
45,#ff6b00,70.22,65.39,20.04,45.1
46,#ff6e00,70.62,65.86,19.82,46.11
47,#ff7100,71.03,66.33,19.6,47.16
48,#ff7400,71.44,66.81,19.38,48.25
49,#ff7700,71.87,67.3,19.17,49.38
50,#ff7900,72.16,67.63,19.03,50.15
51,#ff7c00,72.59,68.14,18.83,51.34
52,#ff7e00,72.89,68.48,18.71,52.15
53,#ff8100,73.34,69.01,18.52,53.41
54,#ff8300,73.64,69.36,18.4,54.26
55,#ff8500,73.95,69.72,18.28,55.13
56,#ff8700,74.26,70.08,18.17,56.01
57,#ff8a00,74.74,70.62,18.01,57.36
58,#ff8c00,75.05,70.99,17.91,58.28
59,#ff8e00,75.38,71.37,17.82,59.21
60,#ff9000,75.7,71.74,17.72,60.16
61,#ff9200,76.03,72.12,17.64,61.12
62,#ff9400,76.36,72.5,17.56,62.09
63,#ff9600,76.69,72.89,17.48,63.06
64,#ff9800,77.03,73.28,17.41,64.05
65,#ff9a00,77.36,73.67,17.35,65.05
66,#ff9c00,77.71,74.07,17.29,66.06
67,#ff9e00,78.05,74.47,17.24,67.07
68,#ffa000,78.39,74.87,17.19,68.09
69,#ffa200,78.74,75.27,17.15,69.12
70,#ffa400,79.09,75.68,17.12,70.15
71,#ffa600,79.45,76.09,17.09,71.19
72,#ffa800,79.8,76.5,17.07,72.23
73,#ffaa00,80.16,76.92,17.05,73.27
74,#ffac00,80.52,77.33,17.04,74.31
75,#ffaf00,81.06,77.96,17.04,75.87
76,#ffb100,81.42,78.39,17.04,76.91
77,#ffb300,81.79,78.81,17.05,77.95
78,#ffb500,82.16,79.24,17.07,78.98
79,#ffb701,82.53,79.67,17.08,79.99
80,#ffb800,82.72,79.89,17.11,80.53
81,#ffba00,83.09,80.32,17.14,81.55
82,#ffbc00,83.46,80.76,17.18,82.56
83,#ffbe00,83.84,81.19,17.22,83.57
84,#ffc000,84.22,81.63,17.27,84.58
85,#ffc200,84.6,82.07,17.33,85.57
86,#ffc400,84.98,82.52,17.39,86.55
87,#ffc701,85.56,83.19,17.48,87.99
